mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
sequential,65536,64,16384,1314.2857,0.0802
random,65536,64,16384,482228.5714,29.4329
random_index,65536,64,16384,6128.5714,0.3741
sequential,66560,65,16640,1714.2857,0.1030
random,66560,65,16640,490471.4286,29.4754
random_index,66560,65,16640,8014.2857,0.4816
sequential,67584,66,16896,1314.2857,0.0778
random,67584,66,16896,499114.2857,29.5404
random_index,67584,66,16896,8185.7143,0.4845
sequential,68608,67,17152,1528.5714,0.0891
random,68608,67,17152,529657.1429,30.8802
random_index,68608,67,17152,9528.5714,0.5555
sequential,69632,68,17408,1471.4286,0.0845
random,69632,68,17408,543885.7143,31.2434
random_index,69632,68,17408,9128.5714,0.5244
sequential,70656,69,17664,2300.0000,0.1302
random,70656,69,17664,527228.5714,29.8476
random_index,70656,69,17664,8642.8571,0.4893
sequential,71680,70,17920,1700.0000,0.0949
random,71680,70,17920,559142.8571,31.2022
random_index,71680,70,17920,8971.4286,0.5006
sequential,72704,71,18176,1585.7143,0.0872
random,72704,71,18176,549942.8571,30.2565
random_index,72704,71,18176,8942.8571,0.4920
sequential,73728,72,18432,1557.1429,0.0845
random,73728,72,18432,554014.2857,30.0572
random_index,73728,72,18432,9071.4286,0.4922
sequential,74752,73,18688,2457.1429,0.1315
random,74752,73,18688,633371.4286,33.8919
random_index,74752,73,18688,7157.1429,0.3830
sequential,75776,74,18944,2028.5714,0.1071
random,75776,74,18944,608200.0000,32.1052
random_index,75776,74,18944,10385.7143,0.5482
sequential,76800,75,19200,2757.1429,0.1436
random,76800,75,19200,595585.7143,31.0201
random_index,76800,75,19200,9585.7143,0.4993
sequential,77824,76,19456,1714.2857,0.0881
random,77824,76,19456,575142.8571,29.5612
random_index,77824,76,19456,7471.4286,0.3840
sequential,78848,77,19712,1557.1429,0.0790
random,78848,77,19712,580471.4286,29.4476
random_index,78848,77,19712,9842.8571,0.4993
sequential,79872,78,19968,1571.4286,0.0787
random,79872,78,19968,603614.2857,30.2291
random_index,79872,78,19968,12685.7143,0.6353
sequential,80896,79,20224,1614.2857,0.0798
random,80896,79,20224,610871.4286,30.2053
random_index,80896,79,20224,7814.2857,0.3864
sequential,81920,80,20480,2771.4286,0.1353
random,81920,80,20480,640185.7143,31.2591
random_index,81920,80,20480,7985.7143,0.3899
sequential,82944,81,20736,2871.4286,0.1385
random,82944,81,20736,627257.1429,30.2497
random_index,82944,81,20736,8528.5714,0.4113
sequential,83968,82,20992,1871.4286,0.0891
random,83968,82,20992,619842.8571,29.5276
random_index,83968,82,20992,8257.1429,0.3933
sequential,84992,83,21248,1842.8571,0.0867
random,84992,83,21248,646100.0000,30.4076
random_index,84992,83,21248,11614.2857,0.5466
sequential,86016,84,21504,1700.0000,0.0791
random,86016,84,21504,634128.5714,29.4889
random_index,86016,84,21504,10971.4286,0.5102
sequential,87040,85,21760,1714.2857,0.0788
random,87040,85,21760,696200.0000,31.9945
random_index,87040,85,21760,8700.0000,0.3998
sequential,88064,86,22016,2014.2857,0.0915
random,88064,86,22016,651642.8571,29.5986
random_index,88064,86,22016,11214.2857,0.5094
sequential,89088,87,22272,1742.8571,0.0783
random,89088,87,22272,657742.8571,29.5323
random_index,89088,87,22272,11342.8571,0.5093
sequential,90112,88,22528,1842.8571,0.0818
random,90112,88,22528,674471.4286,29.9393
random_index,90112,88,22528,11528.5714,0.5117
sequential,91136,89,22784,1742.8571,0.0765
random,91136,89,22784,669342.8571,29.3778
random_index,91136,89,22784,12200.0000,0.5355
sequential,92160,90,23040,1800.0000,0.0781
random,92160,90,23040,710814.2857,30.8513
random_index,92160,90,23040,11771.4286,0.5109
sequential,93184,91,23296,2042.8571,0.0877
random,93184,91,23296,700971.4286,30.0898
random_index,93184,91,23296,11985.7143,0.5145
sequential,94208,92,23552,1900.0000,0.0807
random,94208,92,23552,750071.4286,31.8475
random_index,94208,92,23552,10628.5714,0.4513
