mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
random,55296,54.000000,0.052734,13824,481400,34.823495
random_index,55296,54.000000,0.052734,13824,11500,0.831887
sequential,56320,55.000000,0.053711,14080,8100,0.575284
random,56320,55.000000,0.053711,14080,530400,37.670455
random_index,56320,55.000000,0.053711,14080,13200,0.937500
sequential,57344,56.000000,0.054688,14336,16200,1.130022
random,57344,56.000000,0.054688,14336,511900,35.707310
random_index,57344,56.000000,0.054688,14336,25500,1.778739
sequential,58368,57.000000,0.055664,14592,8500,0.582511
random,58368,57.000000,0.055664,14592,538200,36.883224
random_index,58368,57.000000,0.055664,14592,13900,0.952577
sequential,59392,58.000000,0.056641,14848,9500,0.639817
random,59392,58.000000,0.056641,14848,521400,35.115841
random_index,59392,58.000000,0.056641,14848,14400,0.969828
sequential,60416,59.000000,0.057617,15104,8800,0.582627
random,60416,59.000000,0.057617,15104,526600,34.864936
random_index,60416,59.000000,0.057617,15104,12900,0.854078
sequential,61440,60.000000,0.058594,15360,9600,0.625000
random,61440,60.000000,0.058594,15360,535600,34.869792
random_index,61440,60.000000,0.058594,15360,13000,0.846354
sequential,62464,61.000000,0.059570,15616,9000,0.576332
random,62464,61.000000,0.059570,15616,546700,35.008965
random_index,62464,61.000000,0.059570,15616,13300,0.851691
sequential,63488,62.000000,0.060547,15872,20600,1.297883
random,63488,62.000000,0.060547,15872,562700,35.452369
random_index,63488,62.000000,0.060547,15872,17300,1.089970
sequential,64512,63.000000,0.061523,16128,18500,1.147073
random,64512,63.000000,0.061523,16128,640600,39.719742
random_index,64512,63.000000,0.061523,16128,21300,1.320685
sequential,65536,64.000000,0.062500,16384,14800,0.903320
random,65536,64.000000,0.062500,16384,590600,36.047363
random_index,65536,64.000000,0.062500,16384,17600,1.074219
sequential,66560,65.000000,0.063477,16640,18300,1.099760
random,66560,65.000000,0.063477,16640,594100,35.703125
random_index,66560,65.000000,0.063477,16640,43000,2.584135
sequential,67584,66.000000,0.064453,16896,21800,1.290246
random,67584,66.000000,0.064453,16896,670100,39.660275
random_index,67584,66.000000,0.064453,16896,21600,1.278409
sequential,68608,67.000000,0.065430,17152,9900,0.577192
random,68608,67.000000,0.065430,17152,586000,34.165112
random_index,68608,67.000000,0.065430,17152,14800,0.862873
sequential,69632,68.000000,0.066406,17408,18300,1.051241
random,69632,68.000000,0.066406,17408,614900,35.322840
random_index,69632,68.000000,0.066406,17408,35800,2.056526
sequential,70656,69.000000,0.067383,17664,21700,1.228487
random,70656,69.000000,0.067383,17664,669800,37.918931
random_index,70656,69.000000,0.067383,17664,41900,2.372056
sequential,71680,70.000000,0.068359,17920,11500,0.641741
random,71680,70.000000,0.068359,17920,614400,34.285714
random_index,71680,70.000000,0.068359,17920,15700,0.876116
sequential,72704,71.000000,0.069336,18176,10500,0.577685
random,72704,71.000000,0.069336,18176,631500,34.743618
random_index,72704,71.000000,0.069336,18176,17100,0.940801
sequential,73728,72.000000,0.070312,18432,18900,1.025391
random,73728,72.000000,0.070312,18432,653300,35.443793
random_index,73728,72.000000,0.070312,18432,21900,1.188151
sequential,74752,73.000000,0.071289,18688,12500,0.668878
random,74752,73.000000,0.071289,18688,759400,40.635702
random_index,74752,73.000000,0.071289,18688,23000,1.230736
sequential,75776,74.000000,0.072266,18944,21100,1.113809
random,75776,74.000000,0.072266,18944,705400,37.236064
random_index,75776,74.000000,0.072266,18944,29200,1.541385
sequential,76800,75.000000,0.073242,19200,22300,1.161458
random,76800,75.000000,0.073242,19200,707000,36.822917
random_index,76800,75.000000,0.073242,19200,25800,1.343750
sequential,77824,76.000000,0.074219,19456,23400,1.202714
random,77824,76.000000,0.074219,19456,669700,34.421258
random_index,77824,76.000000,0.074219,19456,18600,0.956003
sequential,78848,77.000000,0.075195,19712,11800,0.598620
random,78848,77.000000,0.075195,19712,680400,34.517045
random_index,78848,77.000000,0.075195,19712,19400,0.984172
sequential,79872,78.000000,0.076172,19968,12200,0.610978
random,79872,78.000000,0.076172,19968,734100,36.763822
random_index,79872,78.000000,0.076172,19968,21600,1.081731
sequential,80896,79.000000,0.077148,20224,12500,0.618078
random,80896,79.000000,0.077148,20224,691200,34.177215
random_index,80896,79.000000,0.077148,20224,18000,0.890032
sequential,81920,80.000000,0.078125,20480,12000,0.585938
random,81920,80.000000,0.078125,20480,699800,34.169922
random_index,81920,80.000000,0.078125,20480,20500,1.000977
sequential,82944,81.000000,0.079102,20736,22400,1.080247
random,82944,81.000000,0.079102,20736,725000,34.963349
random_index,82944,81.000000,0.079102,20736,18600,0.896991
sequential,83968,82.000000,0.080078,20992,12100,0.576410
random,83968,82.000000,0.080078,20992,717200,34.165396
random_index,83968,82.000000,0.080078,20992,18700,0.890816
sequential,84992,83.000000,0.081055,21248,12200,0.574172
random,84992,83.000000,0.081055,21248,725900,34.163215
random_index,84992,83.000000,0.081055,21248,19900,0.936559
sequential,86016,84.000000,0.082031,21504,12400,0.576637
random,86016,84.000000,0.082031,21504,734900,34.175037
random_index,86016,84.000000,0.082031,21504,19300,0.897507
sequential,87040,85.000000,0.083008,21760,12600,0.579044
random,87040,85.000000,0.083008,21760,743600,34.172794
random_index,87040,85.000000,0.083008,21760,32600,1.498162
sequential,88064,86.000000,0.083984,22016,12700,0.576853
random,88064,86.000000,0.083984,22016,751900,34.152435
random_index,88064,86.000000,0.083984,22016,23100,1.049237
sequential,89088,87.000000,0.084961,22272,22300,1.001257
random,89088,87.000000,0.084961,22272,761400,34.186422
random_index,89088,87.000000,0.084961,22272,20200,0.906968
sequential,90112,88.000000,0.085938,22528,13000,0.577060
random,90112,88.000000,0.085938,22528,769700,34.166371
random_index,90112,88.000000,0.085938,22528,20500,0.909979
sequential,91136,89.000000,0.086914,22784,25800,1.132374
random,91136,89.000000,0.086914,22784,778400,34.164326
random_index,91136,89.000000,0.086914,22784,24600,1.079705
sequential,92160,90.000000,0.087891,23040,13300,0.577257
random,92160,90.000000,0.087891,23040,787400,34.175347
random_index,92160,90.000000,0.087891,23040,21100,0.915799
sequential,93184,91.000000,0.088867,23296,13400,0.575206
random,93184,91.000000,0.088867,23296,795500,34.147493
random_index,93184,91.000000,0.088867,23296,23300,1.000172
sequential,94208,92.000000,0.089844,23552,25900,1.099694
random,94208,92.000000,0.089844,23552,805000,34.179688
random_index,94208,92.000000,0.089844,23552,21300,0.904382
sequential,95232,93.000000,0.090820,23808,13800,0.579637
random,95232,93.000000,0.090820,23808,813500,34.169187
random_index,95232,93.000000,0.090820,23808,20900,0.877856
sequential,96256,94.000000,0.091797,24064,13900,0.577626
random,96256,94.000000,0.091797,24064,822400,34.175532
random_index,96256,94.000000,0.091797,24064,21800,0.905918
sequential,97280,95.000000,0.092773,24320,14000,0.575658
random,97280,95.000000,0.092773,24320,830900,34.165296
random_index,97280,95.000000,0.092773,24320,26400,1.085526
sequential,98304,96.000000,0.093750,24576,14200,0.577799
random,98304,96.000000,0.093750,24576,839500,34.159342
random_index,98304,96.000000,0.093750,24576,22900,0.931803
sequential,99328,97.000000,0.094727,24832,14400,0.579897
random,99328,97.000000,0.094727,24832,849200,34.197809
random_index,99328,97.000000,0.094727,24832,21300,0.857764
sequential,100352,98.000000,0.095703,25088,14400,0.573980
random,100352,98.000000,0.095703,25088,857200,34.167730
random_index,100352,98.000000,0.095703,25088,24000,0.956633
sequential,101376,99.000000,0.096680,25344,14600,0.576073
random,101376,99.000000,0.096680,25344,865800,34.161932
random_index,101376,99.000000,0.096680,25344,25000,0.986427
sequential,102400,100.000000,0.097656,25600,14800,0.578125
random,102400,100.000000,0.097656,25600,878300,34.308594
random_index,102400,100.000000,0.097656,25600,25900,1.011719
sequential,103424,101.000000,0.098633,25856,14900,0.576269
random,103424,101.000000,0.098633,25856,885200,34.235767
random_index,103424,101.000000,0.098633,25856,26900,1.040377
sequential,104448,102.000000,0.099609,26112,15100,0.578278
random,104448,102.000000,0.099609,26112,892800,34.191176
random_index,104448,102.000000,0.099609,26112,24400,0.934436
sequential,105472,103.000000,0.100586,26368,26200,0.993629
random,105472,103.000000,0.100586,26368,922500,34.985589
